标签,游戏
单机,"['永不言弃!!', '电子木鱼', '植物大战僵尸2', '厕锁', '霓虹深渊：无限']"
休闲,"['浮岛世界', '二次元打印机', '电子木鱼', '恐怖公交车', '五子棋']"
养成,"['梦幻的城', 'AI丽丝', '无限复活变强系统', '女武神之剑', '不一样的修仙宗门2']"
放置,"['天道：创造', '二次元打印机', '这城有良田', '祖宗模拟器', '无限复活变强系统']"
二次元,"['尘白禁区', '二次元打印机', '战双帕弥什', '第七史诗', '百分之一']"
Roguelike,"['我的勇者', '元气骑士', '抽卡监狱', '一念通天', '勇者秘境']"
卡牌,"['第七史诗', '安尼姆的无尽旅途（测试服）', '女武神之剑', '灵魂潮汐', '道友请留步']"
动作,"['土豆兄弟(Brotato)', '战双帕弥什', '勇者秘境', '深空之眼', '弈剑行']"
角色扮演,"['我的勇者', '第七史诗', '圣翼传说', '果宝无双（测试服）', '原神']"
策略,"['百分之一', '崩坏：星穹铁道', '道友请留步', '重返未来：1999', '斗罗大陆：武魂觉醒']"
