标签,游戏
养成,"['明日方舟', '未定事件簿', '碧蓝航线', '光与夜之恋', '以闪亮之名']"
二次元,"['原神', '明日方舟', '尘白禁区', '重返未来：1999', '战双帕弥什']"
放置,"['天道：创造', '这城有良田', '最强蜗牛', '灵光文明（测试服）', '祖宗模拟器']"
卡牌,"['无期迷途', '第七史诗', '阴阳师', '命运-冠位指定', '坎特伯雷公主与骑士唤醒冠军之剑的奇幻冒险']"
策略,"['崩坏：星穹铁道', '英雄联盟手游', '金铲铲之战', '重返未来：1999', '部落冲突（腾讯版）']"
单机,"['地铁跑酷', '植物大战僵尸2', '另一个伊甸 : 超越时空的猫', '战魂铭人', '霓虹深渊：无限']"
角色扮演,"['崩坏：星穹铁道', '原神', '重返未来：1999', '我的勇者', '第七史诗']"
Roguelike,"['元气骑士', '我的勇者', '史莱姆与地下城', '黎明前20分钟', '浮石之旅']"
动作,"['火影忍者', '土豆兄弟(Brotato)', '战双帕弥什', '崩坏3', '深空之眼']"
休闲,"['太空行动', 'AI丽丝', '球球大作战', '喵喵妙妙塔：数涂', '开心消消乐®']"
