标签,游戏
动作,"['元气骑士前传', '未来之役', '永劫无间手游', '绝区零', '高能英雄']"
多人联机,"['永劫无间手游', '宝可梦大集结', '浮空秘境', '饥荒：新家园', '心动小镇']"
角色扮演,"['浮空秘境', '心动小镇', '徒', 'PuffPals: Island Skies', '星际战甲Warframe手游']"
休闲,"['Woodo', '鹅鸭杀', '龙眠的夏天', '滑板英雄（Hoverboard Heroes）', '我的休闲时光']"
模拟,"['代号鸢', '全面憨憨战争模拟器', '日不落山丘', '龙眠的夏天', '梦想家园：泡泡玛特']"
模拟经营,"['日不落山丘', 'PuffPals: Island Skies', '奇遇村友会', '天道：创造', '梦想家园：泡泡玛特']"
射击,"['未来之役', '高能英雄', '使命召唤:战区', '彩虹六号M', '战地手游']"
二次元,"['银河境界线', '鸣潮', '卡拉彼丘', '世界计划 缤纷舞台！feat. 初音未來', '绝晓']"
生存,"['方舟：生存进化', '饥荒：新家园', '海底大猎杀', '浮岛冒险 Forager', '末日前三小时']"
养成,"['日不落山丘', '不朽大陆', '海底大猎杀', '冲呀！饼干人：王国', '皇宫里的猫']"
