游戏名,标签,评分
蔚蓝档案,"['卡牌', '剧情', '美少女']",8.1
银河境界线,"['二次元', '战棋', '剧情']",8.0
高能英雄,"['射击', '动作', 'FPS']",7.6
浮空秘境,"['角色扮演', '多人联机', '放置']",8.8
冒险岛：枫之传说,"['MMORPG', '冒险', '角色扮演']",7.7
森之国度,"['MMORPG', '角色扮演', '二次元']",8.2
锚点降临,"['回合制', '卡牌', '二次元']",8.1
绝区零,"['动作', '高画质', 'ARPG']",9.1
钟之境,"['女性向', '剧情', '养成']",9.1
星之破晓,"['多人联机', '大乱斗', '动作']",6.5
异尘：达米拉,"['养成', '美少女', '塔防']",8.2
代号56,"['角色扮演', '冒险', '射击']",8.9
世界之外,"['无限流', '恋爱', '剧情']",9.4
代号：双月,"['开放世界', '冒险', '角色扮演']",9.1
异世界转生模拟器2,"['二次元', '休闲', '冒险']",9.8
西游：笔绘西行,"['冒险', '剧情', '养成']",9.1
安尼姆的无尽旅途,"['卡牌', 'Roguelike', '暗黑']",8.4
帕尼亚战纪,"['养成', '美少女', '二次元']",9.1
代号鸢,"['三国', '卡牌', '模拟']",6.4
归龙潮,"['动作', '新怪谈', '国风']",9.1
伊瑟·重启日,"['角色扮演', '回合制', '策略']",8.5
扶摇一梦,"['换装', '捏脸', '养成']",8.8
千年之旅,"['养成', '回合制', '美少女']",7.2
鸣潮,"['开放世界', '二次元', '动作']",8.4
少女前线2：追放,"['战棋', '美少女', '策略']",8.2
冲呀！饼干人：王国,"['养成', '收集', '模拟经营']",9.0
符文之路 Path of Rune,"['高自由度', '沙盒', '开放世界']",9.4
双界：链接点,"['动作', '3D', '二次元']",9.1
雾境序列,"['养成', '剧情', '卡牌']",8.1
欢迎来到梦乐园,"['女性向', '剧情', '卡牌']",8.5
永夜降临：复苏,"['暗黑', '美少女', '二次元']",9.4
元气骑士前传,"['动作', '像素', '地牢']",8.8
末日前三小时,"['生存', '末日', '文字']",9.3
飞吧龙骑士,"['收集', '冒险', '弹幕']",8.5
猫咪和汤,"['可爱', '宠物', '治愈']",9.2
心动小镇,"['多人联机', '建造', '角色扮演']",9.1
Woodo,"['可爱', '休闲', '积木']",9.7
白荆回廊,"['角色扮演', '二次元', '高画质']",9.0
永劫无间手游,"['动作', '多人联机', '吃鸡']",8.3
Phigrim,['音乐'],9.9
新月同行,"['角色扮演', '二次元', '策略']",8.6
使命召唤:战区,"['FPS', '竞技', '射击']",9.0
仙剑世界,"['仙剑', '开放世界', '仙侠']",8.5
卡拉彼丘,"['竞技', '射击', '二次元']",8.5
万世镜,"['换装', '国风', '剧情']",8.1
明日方舟：终末地,"['二次元', '角色扮演', '模拟经营']",9.4
百味食光,"['模拟经营', '治愈', '模拟']",9.8
我的神功,"['武侠', '放置', '多人联机']",8.4
最强祖师,"['修仙', '国风', '放置']",8.2
小小噩梦,"['剧情', '恐怖', '横版']",9.5
妖精的尾巴：激斗,"['3D', '二次元', '动作']",8.3
光隙解语,"['二次元', '收集', '养成']",8.3
红玄传：我自为道,"['放置', '剧情', '仙侠']",9.7
铃兰之剑：为这和平的世界,"['SRPG', '战棋', '像素']",8.8
无限暖暖,"['收集', '换装', '开放世界']",9.0
鹅鸭杀,"['休闲', '多人联机', '狼人杀']",8.7
驱入虚空,"['二次元', '养成', '射击']",9.1
奇遇村友会,"['模拟经营', '竖屏', '可爱']",9.5
钓海2,['文字'],9.9
境·界 刀鸣,"['死神', 'ARPG', '二次元']",9.0
龙眠的夏天,"['卡通', '模拟', '休闲']",9.8
秦皇汉武,"['历史', '战争', 'SLG']",8.1
日不落山丘,"['养成', '模拟经营', '模拟']",9.5
昨日硝烟,"['即时战术', '策略', '射击']",9.0
新月纪元,"['像素', 'Roguelike', '地牢']",9.7
Project CPW,"['动作', '高自由度', '开放世界']",9.3
宿命回响：弦上的叹息,"['美少女', '二次元', '角色扮演']",8.2
燕云十六声,"['开放世界', '动作', '武侠']",9.0
绿梦,"['冒险', '横版', '科幻']",9.3
Party Animals,"['Steam移植', '可爱', '搞笑']",8.9
时间之钥,"['角色扮演', '冒险', '剧情']",8.9
代号：Coven,"['竖屏', '回合制', '卡牌']",10
晴空双子,"['养成', '弹射', '二次元']",8.9
末刀,"['动作', '武侠', '闯关']",9.6
荒古与魔法,"['硬核', '多人联机', '冒险']",8.9
绝晓,"['开放世界', '动作', '二次元']",8.3
代号：三国2078,"['竖屏', '回合制', '放置']",8.4
维斯塔的餐桌,"['女性向', '二次元', '卡牌']",9.1
暂时叫它：天字七六,"['角色扮演', '国风', '二次元']",8.6
