游戏名,标签,评分
Party Animals,"['Steam移植', '可爱', '搞笑']",8.9
元气骑士前传,"['动作', '像素', '地牢']",8.8
未来之役,"['射击', '动作', '竞技']",8.4
永劫无间手游,"['动作', '多人联机', '吃鸡']",8.3
绝区零,"['动作', '高画质', 'ARPG']",9.1
代号鸢,"['三国', '卡牌', '模拟']",6.4
高能英雄,"['射击', '动作', 'FPS']",7.6
宝可梦大集结,"['多人联机', '策略', '竞技']",8.4
方舟：生存进化,"['生存', '恐龙', 'Steam移植']",7.6
浮空秘境,"['角色扮演', '多人联机', '放置']",8.8
银河境界线,"['二次元', '战棋', '剧情']",8.0
饥荒：新家园,"['生存', '多人联机', '饥荒']",7.0
全面憨憨战争模拟器,"['模拟', '策略', '战争']",9.4
摇光录：乱世公主,"['女性向', '剧情', '国风']",7.3
使命召唤:战区,"['FPS', '竞技', '射击']",9.0
日不落山丘,"['养成', '模拟经营', '模拟']",9.5
Woodo,"['可爱', '休闲', '积木']",9.7
蔚蓝档案,"['卡牌', '剧情', '美少女']",8.1
心动小镇,"['多人联机', '建造', '角色扮演']",9.1
符文之路 Path of Rune,"['高自由度', '沙盒', '开放世界']",9.4
彩虹六号M,"['多人联机', '射击', '动作']",6.3
徒,"['ARPG', '动作', '角色扮演']",8.0
PuffPals: Island Skies,"['种田', '模拟经营', '角色扮演']",9.6
战地手游,"['多人联机', '动作', '射击']",7.0
鹅鸭杀,"['休闲', '多人联机', '狼人杀']",8.7
星之破晓,"['多人联机', '大乱斗', '动作']",6.5
末刀,"['动作', '武侠', '闯关']",9.6
小小噩梦,"['剧情', '恐怖', '横版']",9.5
糖豆人：终极淘汰赛手游,"['竞技', '多人联机', '可爱']",7.9
地下城与领主,"['自由交易', '收集', '策略']",9.2
飞越13号房,"['互动电影', '解谜', '剧情']",9.2
猫咪和汤,"['可爱', '宠物', '治愈']",9.2
鸣潮,"['开放世界', '二次元', '动作']",8.4
阿尔芭的探险,"['剧情', '冒险', '益智']",9.6
Project: BloodStrike,"['动作', '吃鸡', 'Roguelike']",6.2
弈仙牌,['卡牌'],9.9
不朽大陆,"['养成', '机甲', '卡通']",9.1
星际战甲Warframe手游,"['MMORPG', '移植', '角色扮演']",9.3
奇遇村友会,"['模拟经营', '竖屏', '可爱']",9.5
龙眠的夏天,"['卡通', '模拟', '休闲']",9.8
卡拉彼丘,"['竞技', '射击', '二次元']",8.5
滑板英雄（Hoverboard Heroes）,"['跑酷', '休闲', '动作']",9.1
星露谷物语,"['像素', '经营', '建造']",4.5
堡垒之夜,"['PVP', '吃鸡', '多人竞技']",9.1
少女前线2：追放,"['战棋', '美少女', '策略']",8.2
海底大猎杀,"['单机', '生存', '养成']",4.7
天道：创造,"['沙盒', '放置', '模拟经营']",8.8
梦想家园：泡泡玛特,"['建造', '模拟经营', '模拟']",9.6
月影别墅,"['AVG', '吸血鬼', '女性向']",9.3
了不起的修仙模拟器 移动版,"['Roguelike', '移植', '修仙']",8.9
浮岛冒险 Forager,"['冒险', '种田', '生存']",9.4
异侠传：道消魔长,"['武侠', '剧情', '自由交易']",9.2
冰与火之舞,"['魔性', '高难度', '节奏']",9.7
末日前三小时,"['生存', '末日', '文字']",9.3
时序残响,"['战棋', '新怪谈', '卡牌']",8.2
世界计划 缤纷舞台！feat. 初音未來,"['音游', '初音未来', '二次元']",9.2
传说法师,"['Roguelike', '动作', '移植']",9.4
飞吧龙骑士,"['收集', '冒险', '弹幕']",8.5
绝晓,"['开放世界', '动作', '二次元']",8.3
我的休闲时光,"['休闲', '竖屏', '手绘']",8.7
燕云十六声,"['开放世界', '动作', '武侠']",9.0
冲呀！饼干人：王国,"['养成', '收集', '模拟经营']",9.0
双界：链接点,"['动作', '3D', '二次元']",9.1
代号：Extreme,"['吃鸡', '射击', '拟真']",8.6
未知：升变2,"['割草Roguelike', '生存', 'Roguelike']",7.6
无边存在,"['Roguelike', 'ARPG', '科幻']",8.8
Door Kickers: Action Squad,"['像素', '移植', 'Steam移植']",9.5
餐厅养成记,"['休闲', '经营', '合成']",7.4
萤火突击,"['多人联机', '生存', '射击']",6.7
归龙潮,"['动作', '新怪谈', '国风']",9.1
古镇物语,"['休闲', '国风', '种田']",9.3
心岛,"['建造', '模拟经营', '种田']",7.7
全明星街球派对,"['篮球', '竞技', '体育']",9.0
明日方舟：终末地,"['二次元', '角色扮演', '模拟经营']",9.4
无限暖暖,"['收集', '换装', '开放世界']",9.0
搬家模拟器,"['模拟', '像素', '益智']",9.5
世界之外,"['无限流', '恋爱', '剧情']",9.4
皇宫里的猫,"['养成', '猫', '建造']",9.7
筑梦工作室,['模拟'],9.1
境·界 刀鸣,"['死神', 'ARPG', '二次元']",9.0
猫猫蛇MOMOS,"['多人联机', '可爱', '休闲']",9.7
一拳超人：世界,"['动漫', '角色扮演', '动作']",9.1
星球：重启,"['开放世界', '射击', '角色扮演']",8.7
橡子屋,"['休闲', '竖屏', '可爱']",9.6
龙傲天模拟器,"['沙盒', '像素', '生存']",9.2
异尘：达米拉,"['养成', '美少女', '塔防']",8.2
绿梦,"['冒险', '横版', '科幻']",9.3
范式：起源 Paradigm: Reboot,"['音游', '节奏']",8.4
地下城与勇士 M,"['2D', '横版', '角色扮演']",2.5
苍翼：混沌效应,"['动作', '闯关', 'Roguelike']",9.1
仙山小农,"['种田', '模拟经营', '国风']",9.4
波西亚时光,"['模拟经营', 'Steam移植', '角色扮演']",9.2
无尽引力,"['卡牌', '放置', '收集']",9.1
倾听画语: 最美好的景色,"['休闲', '艺术', '益智']",9.8
森之国度,"['MMORPG', '角色扮演', '二次元']",8.2
Project Rene-模拟人生,"['养成', '经营', '角色扮演']",7.1
黎明前20分钟,"['Roguelike', '割草Roguelike', '射击']",8.4
冒险岛：枫之传说,"['MMORPG', '冒险', '角色扮演']",7.7
鬼灭之刃 血风剑戟Royale,"['非对称竞技', '动漫', '竞技']",9.5
晴空双子,"['养成', '弹射', '二次元']",8.9
从前有条街,"['国风', '经营', '穿越']",9.0
杀戮地城2,"['单机', '放置', '策略']",8.9
祖宗模拟器,"['放置', '模拟经营', '文字']",8.1
异象回声,"['角色扮演', '策略', '新怪谈']",8.4
世上英雄,"['叙事', '单机', '怀旧']",9.9
白荆回廊,"['角色扮演', '二次元', '高画质']",9.0
零号任务,"['合作', '竞技', '非对称竞技']",7.8
千年之旅,"['养成', '回合制', '美少女']",7.2
快到碗里来,"['多人联机', '竞速', '双人']",7.2
转生到异世界却变成魔法书,"['休闲', '放置', '角色扮演']",9.2
宅人传说,"['模拟', '单机', '独立游戏']",9.4
盗墓长生印,"['单机', '盗墓', '文字']",9.5
代号：UH,"['射击', 'Roguelike', '冒险']",8.9
Wild Arena Survivors,"['吃鸡', '生存', '动作']",7.0
太古之火,"['Roguelike', '战棋', '策略']",9.4
我的游戏天赋,"['单机', '休闲', '益智']",9.1
艾塔纪元,"['二次元', '养成', '机甲']",7.9
萌宅物语,"['养成', '休闲', '治愈']",8.7
雷顿教授与不可思议的小镇,"['竖屏', '解谜', '益智']",9.6
花园之间,"['剧情', '治愈', '解谜']",9.0
老家生活,"['种田', '经营', '模拟']",8.9
墨武侠,"['武侠', '自由交易', '国风']",9.2
铃兰之剑：为这和平的世界,"['SRPG', '战棋', '像素']",8.8
迷宫大侦探 Labyrinth City,"['手绘', '解谜', '益智']",9.7
捣蛋鹅,"['动作', '模拟', '休闲']",2.5
房间的秘密3：女团回归夜,"['推理', '剧情', '解谜']",10
魔法喵星夜,"['治愈', '独立游戏', '生存']",8.0
大侠立志传：碧血丹心,"['独立游戏', '开放世界', '战棋']",9.3
模拟农场20,"['模拟', '模拟经营', '种田']",8.4
因狄斯的谎言,"['Roguelike', 'dbg', '卡牌']",9.2
律动轨迹 Rizline,"['竖屏', '音游', '节奏']",9.5
来古弥新,"['策略', '国风', '战棋']",8.4
尖塔奇兵,"['卡牌', 'Steam移植', 'TCG']",8.2
堡垒之夜手机版,"['多人联机', 'PVP', '沙盒']",7.8
戏怨,"['悬疑', '解谜', '国风']",8.1
秦皇汉武,"['历史', '战争', 'SLG']",8.1
Project CPW,"['动作', '高自由度', '开放世界']",9.3
破烂水手,"['移植', 'Steam移植', '冒险']",8.3
恐怖躲猫猫2,"['多人联机', '休闲']",4.5
哞哩的长梦,"['独立游戏', '射击', '飞行射击']",9.6
砰砰军团,"['多人联机', '卡牌', '像素']",9.0
纪念碑谷3,"['解谜', '休闲', '唯美']",9.8
Malody,"['模拟', '音游', '节奏']",9.8
桃源记2,"['模拟经营', '生存', '国风']",9.3
塔瑞斯世界,"['多人联机', 'MMORPG', '高自由度']",8.9
星骸骑士,"['多人联机', '科幻', '战争']",8.6
满庭芳·宋上繁华,"['模拟经营', '种田', '模拟']",9.2
Draw & Guess（你画我猜）,"['多人联机', '移植', 'Steam移植']",8.5
治愈小镇,"['模拟', '模拟经营', '策略']",9.4
人生模拟器：中国式人生,"['模拟', '文字', '单机']",5.9
