游戏名,标签,评分
天道：创造,"['沙盒', '放置', '模拟经营']",8.8
无间梦境,"['剧情', '解谜', '益智']",9.2
摇光录：乱世公主（预下载）,"['女性向', '剧情', '国风']",7.3
土豆兄弟(Brotato),"['Steam移植', '动作', '2D']",8.0
尘白禁区,"['二次元', '美少女', '射击']",6.0
我的勇者,"['角色扮演', '像素', 'Roguelike']",8.5
香肠派对,"['射击', '吃鸡', '战斗']",8.9
元气骑士,"['Roguelike', '地牢', '像素']",7.3
浮岛世界,"['塔防', '模拟经营', '休闲']",9.1
二次元打印机,"['二次元', '放置', '休闲']",6.9
抽卡监狱,"['Roguelike', '生存', '模拟']",7.8
Phigros,"['音游', '手速', '节奏']",9.7
战双帕弥什,"['高画质', '动作', '二次元']",8.2
永不言弃!!,"['催泪', '单机', '节奏']",6.4
逆水寒,"['开放世界', '武侠', '高画质']",7.6
蛋仔派对,"['多人联机', '派对游戏', '竞技']",6.4
这城有良田,"['经营', '建造', '放置']",7.7
第七史诗,"['卡牌', '角色扮演', '二次元']",8.6
当代人生,"['模拟经营', '治愈', '经营']",8.5
一念通天,"['水墨', '射击', 'Roguelike']",9.1
电子木鱼,"['解压', '单机', '休闲']",7.8
百分之一,"['收集', '二次元', '策略']",9.2
火力苏打（T3）,"['射击', '竞技', '多人联机']",6.2
恐怖公交车,['休闲'],4.6
勇者秘境,"['割草Roguelike', 'Roguelike', '动作']",7.2
祖宗模拟器,"['放置', '模拟经营', '文字']",8.1
五子棋,"['桌游', '休闲', '桌面和棋类']",8.2
楼下的早餐店,"['烹饪', '美食', '经营']",9.1
植物大战僵尸2,"['僵尸', '塔防', '单机']",6.1
深空之眼,"['二次元', '3D', '动作']",8.7
厕锁,"['搞笑', '魔性', '单机']",8.8
超级兔子人联网版,"['休闲', '多人联机', '街机']",3.4
圣翼传说,['角色扮演'],9.7
果宝无双（测试服）,['角色扮演'],5.9
几何决斗,['街机'],8.5
霓虹深渊：无限,"['Roguelike', '冒险', '单机']",7.6
海底大猎杀,['冒险'],3.5
我的世界,"['沙盒', '开放世界', '像素']",6.0
梦幻的城,"['治愈', '养成', '唯美']",8.3
原神,"['开放世界', '二次元', '角色扮演']",8.5
AI丽丝,"['治愈', '养成', '休闲']",8.9
崩坏：星穹铁道,"['角色扮演', '冒险', '策略']",8.0
null,null,null
我想成为创造者,"['平台跳跃', '横版', 'DIY']",9.7
你了解自己吗,"['心理学', '文字', '单机']",8.2
null,null,null
这也能切,['休闲'],9.0
水相,"['单机', '横版', '冒险']",7.4
你会打字吗,"['消除', '益智', '休闲']",5.4
无限复活变强系统,"['养成', '放置', '休闲']",9.6
白夜极光,"['二次元', '角色扮演', '日系']",8.0
最强蜗牛,"['冒险', '竖屏', '放置']",7.2
安尼姆的无尽旅途（测试服）,"['独立游戏', 'Rogueike', '卡牌']",8.0
女武神之剑,"['卡牌', '放置', '养成']",9.4
海龟蘑菇汤,"['文字', '推理', '悬疑']",9.1
不一样的修仙宗门2,"['修仙', '单机', '养成']",8.4
明星化妆师,['角色扮演'],4.4
抛,"['物理', '休闲', '单机']",8.3
史莱姆与地下城,"['角色扮演', 'Roguelike', '冒险']",7.8
灵魂潮汐,"['卡牌', '养成', '二次元']",8.5
道友请留步,"['卡牌', '策略', '养成']",8.4
弈剑行,"['动作', '多人联机', '武侠']",8.9
浮石之旅,"['像素', '地牢', 'Roguelike']",7.5
只兔,"['横版', '硬核', '像素']",7.9
太空行动,"['益智', '狼人杀', '休闲']",7.1
炸鸡派对！（测试服）,"['魔性', '搞笑', 'io']",7.3
活下去,"['生存', '丧尸', '单机']",9.4
光·遇,"['唯美', '治愈', '艺术']",7.8
斗罗大陆：魂师对决,"['卡牌', '回合制', '多人联机']",7.1
2048清,"['单机', '竖屏', '消除']",9.8
代号：长生（测试服预下载）,,9.1
真实公路汽车2,"['竞速', '驾驶', '体育']",5.8
无限深渊,"['2d横版', 'Roguelike', '动作']",7.9
无名江湖,"['放置', '卡牌', '武侠']",8.6
null,null,null
我功夫特牛,"['Roguelike', '火柴人', '休闲']",7.5
我的钓鱼生活,"['模拟经营', '单机', '钓鱼']",8.0
西行纪 燃魂,"['国漫', 'ARPG', '西游']",7.3
凡人传说,"['放置', '修仙', '文字']",9.6
重生细胞,"['Steam移植', '动作', 'Roguelike']",8.6
我的御剑日记,"['卡牌', '竖屏', '放置']",7.1
灵光文明（测试服）,"['卡牌', '收集', '放置']",8.7
同步音律,"['音游', '二次元', '节奏']",8.8
我的网红女友：养成计划,"['养成', '模拟经营', '单机']",8.2
戏怨,"['悬疑', '解谜', '国风']",8.1
另一个伊甸 : 超越时空的猫,"['回合制', '单机', '剧情']",9.0
修仙家族模拟器,"['修仙', '文字', '模拟']",9.0
你画我歪,"['竖屏', '休闲', '益智']",7.7
黑洞来了,"['休闲', '竞技', '单机']",4.7
迷失蔚蓝,"['生存', '末日', '高自由度']",6.0
收纳物语,"['收集', '小清新', '单机']",3.2
战魂铭人,"['单机', '动作', '像素']",8.0
海王重生模拟,"['模拟', '单机', '文字']",7.0
晶核,"['冒险', '动作', '魔法']",7.0
南国度假岛物语,"['休闲', '模拟经营', '单机']",9.3
三国志幻想大陆,"['卡牌', '养成', '三国']",8.1
重返未来：1999,"['二次元', '角色扮演', '策略']",7.1
冒险王2之美女传奇,"['二次元', '卡牌', '美少女']",9.2
斗罗大陆：武魂觉醒,"['卡牌', '策略', '放置']",8.0
派对之星,"['格斗', '同屏对战', '动作']",6.7
null,null,null
天道：无限轮回,"['修仙', '竖屏', '放置']",8.1
重返深渊,"['Roguelike', '割草Roguelike', '解压']",8.9
月影别墅,"['AVG', '吸血鬼', '女性向']",9.3
富翁大作战,"['Steam移植', '移植', '桌面和棋类']",5.3
理想大学人生,"['单机', '养成', '模拟']",7.0
合成小芝麻,"['单机', '合成', '休闲']",6.6
明日方舟,"['塔防', '二次元', '养成']",8.4
辐射 避难所,"['生存', '经营', '单机']",8.5
沙城争霸,['策略'],9.1
骑战：烈火之剑,"['历史', '中世纪', '即时战略']",6.5
城市公交模拟器,['模拟'],5.6
异世界转生模拟器,"['竖屏', '修仙', '养成']",7.6
逍遥客栈,"['美食', '模拟经营', '国风']",8.8
我的游戏天赋,"['单机', '休闲', '益智']",9.1
赤核,"['科幻', '竖屏', '单机']",8.9
方块迷宫,"['高自由度', '可爱', '解谜']",3.7
房间的秘密,"['解谜', '推理', '剧情']",9.4
僵尸猎人:像素生存,"['解谜', '推理', '剧情']",7.9
迷雾,"['密室', '解谜', '逃脱']",8.1
null,null,null
巅峰极速,"['竞速', '赛车', '多人联机']",6.3
小说家模拟2,"['养成', '休闲', '经营']",7.8
超凡先锋,"['射击', '策略', '竞技']",6.4
剑影寻光,"['动作', '格斗', '横版']",8.0
恋爱模拟器,['模拟'],7.1
山海吞噬进化,"['角色扮演', '动作', '冒险']",6.6
失落城堡,"['Roguelike', 'Steam移植', '地牢']",8.6
疯狂动物园,"['休闲', '跑酷', '3D像素']",6.0
杀戮地城2,"['单机', '放置', '策略']",8.9
遇见逆水寒,"['恋爱', '乙女', '养成']",8.4
幻之封神,"['放置', '卡牌', '收集']",9.0
奇点时代,"['恋爱', 'AVG', '治愈']",7.6
龙灵,"['生存', '收集', '多人联机']",8.3
桃源深处有人家,"['种田', '建造', '佛系']",7.1
以闪亮之名,"['捏脸', '收集', '养成']",8.2
情商天花板,"['脑洞', '闯关', '解谜']",4.2
十三号修理店,"['模拟经营', '剧情', '竖屏']",6.1
流浪者,"['单机', '像素', '休闲']",7.1
放置军团,"['放置', '养成', '策略']",9.0
碧蓝航线,"['二次元', '美少女', '养成']",9.4
完美小姐她又没猜到结局,"['恐怖', '解谜', '单机']",9.6
Muse Dash 喵斯快跑,"['音游', '二次元', '跑酷']",9.2
7天,"['文字', '剧情', '多结局']",9.2
十三号病院,"['密室', '恐怖', '单机']",8.2
方婷婷,"['解谜', '恐怖', '需家长陪同']",7.2
大周列国志,"['单机', '策略', '模拟']",8.4
天启圣源（测试服）,"['养成', '二次元', '卡通']",9.1
航海奇闻,"['卡牌', 'Roguelike', '策略']",8.1
跳舞的线,"['节奏', '单机', '唯美']",8.4
