游戏名,标签,评分
null,null,null
香肠派对,"['射击', '吃鸡', '战斗']",8.9
泰拉瑞亚,"['沙盒', '像素', '开放世界']",9.2
避难所：生存,"['冒险', '末日', '生存']",7.3
人类跌落梦境,"['魔性', '冒险', '付费下载']",7.9
英雄联盟手游,"['MOBA', '高画质', '策略']",7.6
土豆兄弟(Brotato),"['Steam移植', '动作', '2D']",8.0
无间梦境,"['剧情', '解谜', '益智']",9.2
Muse Dash 喵斯快跑,"['音游', '二次元', '跑酷']",9.2
原神,"['开放世界', '二次元', '角色扮演']",8.5
尘白禁区,"['二次元', '美少女', '射击']",6.0
逆水寒,"['开放世界', '武侠', '高画质']",7.6
Phigros,"['音游', '手速', '节奏']",9.7
坐在罐子里的人,"['魔性', '高难度', '单机']",7.2
崩坏：星穹铁道,"['角色扮演', '冒险', '策略']",8.0
泰拉瑞亚（旧国服版本),"['沙盒', '像素', '单机']",4.9
蛋仔派对,"['多人联机', '派对游戏', '竞技']",6.4
笼中窥梦,"['几何', '艺术', '视错觉']",8.8
迷失蔚蓝,"['生存', '末日', '高自由度']",6.0
锚点降临,"['回合制', '卡牌', '二次元']",8.1
梦幻的城,"['治愈', '养成', '唯美']",8.3
重生细胞,"['Steam移植', '动作', 'Roguelike']",8.6
元气骑士,"['Roguelike', '地牢', '像素']",7.3
战地1991,"['角色扮演', '单机', '独立游戏']",6.1
转生勇者打魔王,"['竖屏', '冒险', '养成']",9.6
这城有良田,"['经营', '建造', '放置']",7.7
抽卡监狱,"['Roguelike', '生存', '模拟']",7.8
Bike Riders Pro,"['Roguelike', '生存', '模拟']",3.4
我的世界,"['沙盒', '开放世界', '像素']",6.0
幻之封神,"['放置', '卡牌', '收集']",9.0
单机游戏-暗黑地下城冒险,,0
晶核,"['冒险', '动作', '魔法']",7.0
聚爆Implosion,"['动作', '科幻', '机甲']",8.5
逃脱者：困境突围（付费下载版）,"['策略', 'Steam移植', '付费下载']",6.6
艾希,"['打击感', 'UP主推荐', '动作']",9.6
卡车模拟:中国3d驾大卡车游戏,"['竞速', '真实模拟', '模拟']",8.8
天启圣源,"['卡通', '养成', '二次元']",9.3
我的水世界求生,"['角色扮演', '生存', '动作']",8.5
王者荣耀,"['MOBA', '5v5', '多人联机']",5.5
光·遇,"['唯美', '治愈', '艺术']",7.8
人生画廊,"['休闲', '解谜', '文字']",9.5
浮石之旅,"['像素', '地牢', 'Roguelike']",7.5
