游戏名,标签,评分
王者荣耀,"['MOBA', '5v5', '多人联机']",5.5
崩坏：星穹铁道,"['角色扮演', '冒险', '策略']",8.0
原神,"['开放世界', '二次元', '角色扮演']",8.5
明日方舟,"['塔防', '二次元', '养成']",8.4
英雄联盟手游,"['MOBA', '高画质', '策略']",7.6
金铲铲之战,"['自走棋', '策略', '英雄联盟']",7.7
天道：创造,"['沙盒', '放置', '模拟经营']",8.8
火影忍者,"['格斗', '动作', '横版']",6.9
尘白禁区,"['二次元', '美少女', '射击']",6.0
蛋仔派对,"['多人联机', '派对游戏', '竞技']",6.4
泰拉瑞亚,"['沙盒', '像素', '开放世界']",9.2
逆水寒,"['开放世界', '武侠', '高画质']",7.6
香肠派对,"['射击', '吃鸡', '战斗']",8.9
重返未来：1999,"['二次元', '角色扮演', '策略']",7.1
土豆兄弟(Brotato),"['Steam移植', '动作', '2D']",8.0
和平精英,"['多人联机', '射击', 'FPS']",7.2
元气骑士,"['Roguelike', '地牢', '像素']",7.3
无间梦境,"['剧情', '解谜', '益智']",9.2
战双帕弥什,"['高画质', '动作', '二次元']",8.2
使命召唤手游,"['FPS', '高画质', '射击']",7.9
Phigros,"['音游', '手速', '节奏']",9.7
暗区突围,"['生存', '硬核', '高画质']",7.1
未定事件簿,"['养成', '收集', '乙女']",6.3
我的勇者,"['角色扮演', '像素', 'Roguelike']",8.5
碧蓝航线,"['二次元', '美少女', '养成']",9.4
崩坏3,"['动作', '二次元', '高画质']",6.6
深空之眼,"['二次元', '3D', '动作']",8.7
无期迷途,"['新怪谈', '剧情', '卡牌']",8.1
我的世界,"['沙盒', '开放世界', '像素']",6.0
光与夜之恋,"['乙女', '养成', '恋爱']",7.9
晶核,"['冒险', '动作', '魔法']",7.0
部落冲突（腾讯版）,['策略'],6.8
第七史诗,"['卡牌', '角色扮演', '二次元']",8.6
地铁跑酷,"['跑酷', '单机', '街机']",7.5
以闪亮之名,"['捏脸', '收集', '养成']",8.2
这城有良田,"['经营', '建造', '放置']",7.7
穿越火线：枪战王者,"['FPS', '吃鸡', 'PVP']",6.0
史莱姆与地下城,"['角色扮演', 'Roguelike', '冒险']",7.8
光·遇,"['唯美', '治愈', '艺术']",7.8
植物大战僵尸2,"['僵尸', '塔防', '单机']",6.1
梦幻的城,"['治愈', '养成', '唯美']",8.3
第五人格,"['刺激', '高画质', '3D']",7.9
荒野乱斗（腾讯版）,"['卡通', '多人联机', '竞技']",6.2
最强蜗牛,"['冒险', '竖屏', '放置']",7.2
黎明前20分钟,"['Roguelike', '割草Roguelike', '射击']",8.4
火力苏打（T3）,"['射击', '竞技', '多人联机']",6.2
阴阳师,"['卡牌', '养成', '回合制']",7.6
白夜极光,"['二次元', '角色扮演', '日系']",8.0
浮石之旅,"['像素', '地牢', 'Roguelike']",7.5
另一个伊甸 : 超越时空的猫,"['回合制', '单机', '剧情']",9.0
命运-冠位指定,"['二次元', '卡牌', '动漫']",7.8
太空行动,"['益智', '狼人杀', '休闲']",7.1
战魂铭人,"['单机', '动作', '像素']",8.0
坎特伯雷公主与骑士唤醒冠军之剑的奇幻冒险,"['卡牌', '像素', '角色扮演']",8.5
时空中的绘旅人,"['乙女', '剧情', '女性向']",9.1
一念逍遥,"['文字', '养成', '修仙']",6.9
三国杀,"['策略', '卡牌', '三国']",3.0
霓虹深渊：无限,"['Roguelike', '冒险', '单机']",7.6
Muse Dash 喵斯快跑,"['音游', '二次元', '跑酷']",9.2
忍者必须死3,"['动作', '跑酷', '忍者']",3.7
灵光文明（测试服）,"['卡牌', '收集', '放置']",8.7
一念通天,"['水墨', '射击', 'Roguelike']",9.1
桃源深处有人家,"['种田', '建造', '佛系']",7.1
Orzmic,"['音游', '二次元', '单机']",8.7
QQ飞车,"['竞速', '漂移', '3D']",7.1
重生细胞,"['Steam移植', '动作', 'Roguelike']",8.6
AI丽丝,"['治愈', '养成', '休闲']",8.9
百分之一,"['收集', '二次元', '策略']",9.2
世界弹射物语,"['像素', '二次元', '动作']",9.3
球球大作战,"['io', 'UP主推荐', '休闲']",7.1
闪耀暖暖,"['换装', '3D', '养成']",7.1
喵喵妙妙塔：数涂,"['益智', '猫', '休闲']",9.7
祖宗模拟器,"['放置', '模拟经营', '文字']",8.1
凡人传说,"['放置', '修仙', '文字']",9.6
开心消消乐®,"['益智', '消除', '休闲']",9.0
公主连结Re:Dive,"['二次元', '卡牌', '养成']",8.8
修仙家族模拟器,"['修仙', '文字', '模拟']",9.0
辐射 避难所,"['生存', '经营', '单机']",8.5
决战！平安京,"['MOBA', '和风', '阴阳师']",5.8
巅峰极速,"['竞速', '赛车', '多人联机']",6.3
道友请留步,"['卡牌', '策略', '养成']",8.4
地下城堡3：魂之诗,"['竖屏', '策略', '地牢']",7.1
诸神皇冠,"['单机', '战棋', 'SRPG']",8.7
少女前线：云图计划,"['二次元', '美少女', 'Roguelike']",7.8
环行旅舍,"['策略', '美少女', '二次元']",7.9
月圆之夜,"['卡牌', '单机', 'Roguelike']",8.6
我的御剑日记,"['卡牌', '竖屏', '放置']",7.1
三国志幻想大陆,"['卡牌', '养成', '三国']",8.1
无名江湖,"['放置', '卡牌', '武侠']",8.6
圣翼传说,['角色扮演'],9.7
花亦山心之月,"['女性向', '养成', '收集']",6.9
奇点时代,"['恋爱', 'AVG', '治愈']",7.6
恋与制作人,"['恋爱', '养成', '乙女']",8.1
烟雨江湖,"['武侠', '单机', '角色扮演']",6.5
联盟契约,"['魔幻', '角色扮演', '单机']",8.2
2048清,"['单机', '竖屏', '消除']",9.8
 部落冲突：皇室战争（腾讯版）,['策略'],2.5
皇帝成长计划2,"['养成', '角色扮演', '模拟']",8.3
暴走英雄坛,"['武侠', '放置', '文字']",6.3
西行纪 燃魂,"['国漫', 'ARPG', '西游']",7.3
偶像梦幻祭2,"['音游', '女性向', '二次元']",6.9
楼下的早餐店,"['烹饪', '美食', '经营']",9.1
妄想山海,"['开放世界', '模拟经营', '经营']",7.4
无限深渊,"['2d横版', 'Roguelike', '动作']",7.9
奇迹暖暖,"['换装', '女性向', '养成']",8.2
一剑江湖,"['放置', '竖屏', '修仙']",9.3
弹力果冻,"['养成', '可爱', '收集']",8.4
爆炒江湖,"['经营', '养成', '美食']",9.1
食物语,"['女性向', '养成', '美食']",7.1
月影别墅,"['AVG', '吸血鬼', '女性向']",9.3
再刷一把,"['复古', '像素', '角色扮演']",8.9
咸鱼之王,"['放置', '卡牌', '养成']",6.2
当代人生,"['模拟经营', '治愈', '经营']",8.5
弹壳特攻队,"['Roguelike', '割草Roguelike', '魔性']",5.0
灵魂潮汐,"['卡牌', '养成', '二次元']",8.5
抽卡监狱,"['Roguelike', '生存', '模拟']",7.8
放置军团,"['放置', '养成', '策略']",9.0
不一样的修仙宗门2,"['修仙', '单机', '养成']",8.4
杀戮地城2,"['单机', '放置', '策略']",8.9
无猜扫雷,"['扫雷', '桌面和棋类', '休闲']",9.0
完美小姐她又没猜到结局,"['恐怖', '解谜', '单机']",9.6
蜘蛛纸牌,"['益智', '纸牌', '桌面和棋类']",8.2
Malody V,"['节奏', '下落式', '音游']",8.1
部落与弯刀,"['Steam移植', '策略', '开放世界']",8.7
南国度假岛物语,"['休闲', '模拟经营', '单机']",9.3
这也能切,['休闲'],9.0
奥比岛：梦想国度,"['换装', '经营', '益智']",7.1
逃跑吧！少年,"['竞技', '搞笑', '多人联机']",7.7
航海王热血航线,"['二次元', '动作', 'ARPG']",7.4
纸嫁衣4红丝缠,"['悬疑', '剧情', '解谜']",9.1
喵星族（测试服）,"['竖屏', '猫', '模拟经营']",9.0
无限复活变强系统,"['养成', '放置', '休闲']",9.6
纸嫁衣,"['密室', '需家长陪同', '恐怖']",9.2
五子棋,"['桌游', '休闲', '桌面和棋类']",8.2
爸爸的面馆,"['怀旧', '美食', '模拟']",6.9
听说这里有怪兽,"['放置', '休闲', '收集']",9.6
影之诗,"['卡牌', 'TCG', '二次元']",8.5
斗罗大陆：魂师对决,"['卡牌', '回合制', '多人联机']",7.1
汉末霸业,"['三国', '策略', '模拟经营']",8.6
勇者秘境,"['割草Roguelike', 'Roguelike', '动作']",7.2
游戏王：决斗链接,"['策略', '二次元', 'OCG']",7.0
江南百景图,"['经营', '模拟', '放置']",6.4
女武神之剑,"['卡牌', '放置', '养成']",9.4
火炬之光：无限,"['暗黑', 'ARPG', '地牢']",7.4
无尽噩梦5怨灵咒,"['角色扮演', '剧情', '冒险']",8.4
小说家模拟2,"['养成', '休闲', '经营']",7.8
剑与远征,"['竖屏', '放置', '卡牌']",6.2
王牌竞速,"['赛车', '高画质', '竞速']",6.7
无限升级,"['养成', '放置', '角色扮演']",8.9
少女前线,"['美少女', '策略', '二次元']",8.6
